,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
419,13298.6,253083286,quark,1512549541,3481616.00,,Quark,1.15,7.65,6.81,1.10E-06,0.0137568,420,QRK,253083286
420,4102.18,95963014,procurrency,1512549566,3461779.00,,ProCurrency,-0.99,-6.12,-3.38,2.88E-06,0.0360741,421,PROC,15003147809
421,115618,890069,innova,1512549584,3424219.00,42000000,Innova,-3.43,-7.87,6.79,0.00030747,3.84714,422,INN,1640069
422,43334,20373730,huntercoin,1512549543,3410848.00,,HunterCoin,-2.42,-1.54,-0.23,1.34E-05,0.167414,423,HUC,20373730
423,1177.52,2814070,martexcoin,1512549555,3376377.00,5000000,MarteXcoin,0.04,2.12,4.85,9.59E-05,1.19982,424,MXT,2814070
424,274599,1133007,tokes,1512549563,3359830.00,,Tokes,0.35,-19.8,31.34,0.000237,2.96541,425,TKS,50000000
425,5146.65,22261249,hubii-network,1512549580,3355304.00,,Hubii Network,-0.12,15.87,-4.47,1.21E-05,0.150724,426,HBT,31801784
426,18462.6,9952089,cryptoping,1512549575,3348470.00,,CryptoPing,-0.72,-23.51,62.19,2.69E-05,0.336459,427,PING,9952089
427,3249.46,24947260808,mintcoin,1512549542,3341212.00,,Mintcoin,0.55,13.56,-15.1,1.00E-08,0.000133931,428,MINT,24947260808
428,26396.4,168809625,mercury-protocol,1512549581,3242360.00,,Mercury Protocol,-0.12,-21.8,-50.14,1.54E-06,0.0192072,429,GMT,1000000000
429,183430,269221500,dotcoin,1512549547,3199967.00,890000000,Dotcoin,0.88,6.62,28.65,9.50E-07,0.011886,430,DOT,534221500
430,763.434,6065848,cryptcoin,1512549544,3187694.00,,CryptCoin,-5.11,91.43,113.58,4.20E-05,0.525515,431,CRYPT,6065848
431,248219,45079785,startcoin,1512549545,3171016.00,,Startcoin,-2.62,-2.14,13.35,5.62E-06,0.0703423,432,START,70782220
432,3136.85,6247267,trueflip,1512549575,3123065.00,,TrueFlip,-0.12,-16.51,-7.35,4.00E-05,0.499909,433,TFL,8924667
433,65336.4,10815966,vtorrent,1512549553,3115344.00,,vTorrent,0.1,-1.88,16.25,2.30E-05,0.288032,434,VTR,10815966
434,8935.15,16714020,social,1512549577,3051629.00,,Social,0.49,21.04,-2.43,1.46E-05,0.182579,435,SCL,16714020
435,11396.5,3.20903E+12,paccoin,1512549551,3035193.00,,Paccoin,1.07,-3.88,1,8.00E-11,9.46E-07,436,PAC,3.20903E+12
436,118348,7632631,magi,1512549546,2967758.00,,Magi,3.46,3.8,10.78,3.11E-05,0.388825,437,XMG,7632631
437,691762,600000,kolion,1512549577,2958156.00,,Kolion,0.79,-1.1,18.58,0.00039403,4.93026,438,KLN,1000000
438,135346,790917,vivo,1512549576,2921925.00,,VIVO,-6,19.96,13.58,0.00029526,3.69435,439,VIVO,1610917
439,112914,9206309,spreadcoin,1512549547,2879255.00,,SpreadCoin,-0.6,-8.61,6.17,2.50E-05,0.312748,440,SPR,9206309
440,41507.3,2230999,draftcoin,1512549563,2707295.00,,DraftCoin,0.49,5.1,12.61,9.70E-05,1.21349,441,DFT,17418716
441,57782.4,108984600,yocoin,1512549561,2698284.00,336000000,Yocoin,0.56,-30.47,-9.71,1.98E-06,0.0247584,442,YOC,168494600
442,42278.9,5173400514,buzzcoin,1512549576,2681720.00,20000000000,BuzzCoin,-13.02,-10.44,-21.77,4.00E-08,0.000518367,443,BUZZ,5173400514
443,38033.8,608771508,xgox,1512549580,2668361.00,,XGOX,-2.62,7.59,28.07,3.50E-07,0.00438319,444,XGOX,862186852
444,8144.83,373012479,cryptonite,1512549545,2653320.00,,Cryptonite,1.1,-5.38,15.22,5.70E-07,0.00711322,445,XCN,373012479
445,2977.34,1070864659,hyperstake,1512549546,2639060.00,,HyperStake,5.07,9.6,47.52,2.00E-07,0.00246442,446,HYP,1070864659
446,17677.3,60123682,flik,1512549579,2625613.00,600000000,FLiK,-5.36,-4.19,49.72,3.49E-06,0.0436702,447,FLIK,80000000
447,17694.6,18582933,publica,1512549588,2611385.00,,Publica,0.16,-4.99,-46.22,1.12E-05,0.140526,448,PBL,33787150
448,769.066,8000000,bowhead,1512549577,2565056.00,,Bowhead,3.35,128.07,72.88,2.56E-05,0.320632,449,AHT,100000000
449,1528.11,836083750,audiocoin,1512549550,2558851.00,,AudioCoin,0.15,-1.42,1.73,2.40E-07,0.00306052,450,ADC,836083750
450,3097.97,122175,altcoin-alt,1512549565,2556298.00,,Altcoin,0.42,5.87,24.01,0.00167222,20.9232,451,ALT,134063
451,8840.27,1448316,crave,1512549549,2514059.00,,Crave,0.33,7.83,12.43,0.00013873,1.73585,452,CRAVE,1448316
452,10147.6,8035193,woodcoin,1512549548,2513457.00,,Woodcoin,0.14,6.35,-3.85,2.50E-05,0.312806,453,LOG,8035193
453,1756.04,6260570,smartbillions,1512549587,2506920.00,,SmartBillions,-0.12,0.05,-4.89,3.20E-05,0.40043,454,SMART,7852650
454,881.461,30000000,bitland,1512549556,2505210.00,,Bitland,2.29,1.28,,6.67E-06,0.083507,455,CADASTRAL,30000000
455,8739.54,5068914,starta,1512549572,2478968.00,,Starta,0.55,-8.88,-1.6,3.91E-05,0.489053,456,STA,5324245
456,13986.4,13225026,atlant,1512549582,2477246.00,54175041,ATLANT,-1.67,-17.53,21.59,1.50E-05,0.187315,457,ATL,54175041
457,2204.25,465952,ico-openledger,1512549556,2426448.00,,ICO OpenLedger,-0.6,0.79,,0.00041619,5.20751,458,ICOO,465952
458,13461.4,140080549,opus,1512549575,2420872.00,249308531,Opus,-24.31,-28.27,-30.67,1.38E-06,0.017282,459,OPT,249308531
459,65597.7,2674875,ellaism,1512549584,2399387.00,280000000,Ellaism,-2,-3.77,171.9,7.17E-05,0.897009,460,ELLA,2674875
